
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=QQQ&Refresh=true
    (barrido nuevo: puede tardar varios minutos)
    113s

==> Bid/ask de 122 strikes (244 legs) desde /Data/Tastytrade/MarketData/Quote
    20/122...
    40/122...
    60/122...
    80/122...
    100/122...
    120/122...

==> QQQ - 2026-09-18 - DTE 24 - REGULAR
    Spot 710,595   ATM IV 0,1971   Net GEX -58,4 B   Call Wall 750,0   Put Wall 700,0   ZGL 709,0
    Strikes: 267 en la cadena   |   Suma call 230.499,2 M | put -288.921,2 M | net -58.421,9 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (146 de 267)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         747        333,9          0,0        333,9      951        0     2,22    2,27   37,53   38,16     3,67    0,60
         748        179,1          0,0        179,1      527        0     2,09    2,13   38,50   39,08     3,80    0,58
         749        859,1          0,0        859,1    2.614        0     1,95    1,99   39,35   40,04     3,80    0,54
         750     16.348,6       -734,4     15.614,1   51.512    2.807     1,82    1,86   40,39   40,98     3,95    0,50
         751        270,2          0,0        270,2      882        0     1,70    1,74   41,18   41,90     3,87    0,47
         752        174,0          0,0        174,0      589        0     1,58    1,62   42,10   42,82     3,94    0,44
         753        223,1          0,0        223,1      784        0     1,48    1,51   43,16   43,76     4,08    0,41
         754      2.425,0          0,0      2.425,0    8.865        0     1,38    1,41   44,07   44,70     4,03    0,39
         755      6.154,1         -6,3      6.147,8   23.411       36     1,29    1,32   44,91   45,64     3,93    0,37
         756        102,7         -5,2         97,4      407       33     1,20    1,23   45,85   46,60     3,95       -
         757        119,1          0,0        119,1      493        0     1,12    1,14   46,48   47,93     3,66       -
         758        170,0          0,0        170,0      734        0     1,04    1,07   47,45   48,90     3,69       -
         759        165,7         -0,2        165,5      747        2     0,97    0,99   48,42   49,87     3,72       -
         760      8.325,0        -12,1      8.312,9   39.212      127     0,90    0,92   49,25   50,74     3,61    0,25
         765      2.930,5          0,0      2.930,5   17.431        0     0,63    0,65   54,18   55,65     3,44    0,17
         770      2.028,8         -0,1      2.028,8   15.541        2     0,44    0,46   59,23   60,66     3,58    0,10
         775      2.444,0          0,0      2.444,0   23.742        0     0,32    0,34   64,23   65,59     3,57    0,06
         780        974,2          0,0        974,2   12.185        0     0,23    0,26   69,15   70,63     3,56    0,04
         785        184,3          0,0        184,3    2.925        0     0,18    0,19   74,15   75,63     3,52    0,03
         790      1.598,5          0,0      1.598,5   32.677        0     0,12    0,15   79,24   80,72     3,61    0,00
         795        218,3          0,0        218,3    5.763        0     0,09    0,12   84,23   85,71     3,51       -
         800      1.685,1          0,0      1.685,1   58.491        0        -       -       -       -        -       -
         805        754,2          0,0        754,2   31.461        0        -       -       -       -        -       -
         810        159,7          0,0        159,7    7.741        0        -       -       -       -        -       -
    (bid/ask solo dentro de +-12% del spot; fuera de esa banda las celdas van vacias)

==> CSV con los 267 strikes: C:\Eric\App\Claude\Projects\GaleCore\research\got\data\2026-08-25\QQQ_gex_2026-09-18.csv
