strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
830.0,1722.3819,0.0,1722.3819,13001,0,0.03459,-0.99972,0.45,0.46,62.94,66.13,1.8,0.11,Regular
835.0,1132.9215,0.0,1132.9215,10823,0,0.02626,-0.99977,0.33,0.34,67.94,71.16,1.81,0.07,Regular
840.0,218.5174,0.0,218.5174,2617,0,0.02038,-0.99981,0.25,0.26,72.94,76.15,1.78,0.05,Regular
845.0,693.155,0.0,693.155,10422,0,0.01586,-0.99984,0.19,0.2,77.94,81.15,1.79,0.03,Regular
850.0,519.1391,0.0,519.1391,9625,0,0.0127,-0.99986,0.15,0.16,82.94,86.16,1.79,0.02,Regular
855.0,33.5317,0.0,33.5317,761,0,0.01028,-0.99988,0.12,0.13,87.94,91.16,1.78,,Regular
860.0,75.1198,0.0,75.1198,2020,0,0.00872,-0.9999,,,,,,,Regular
865.0,18.0789,0.0,18.0789,575,0,0.0074,-0.99991,,,,,,,Regular
870.0,9.2185,0.0,9.2185,349,0,0.00622,-0.99992,,,,,,,Regular
875.0,18.0819,0.0,18.0819,791,0,0.00543,-0.99993,,,,,,,Regular
880.0,0.0,0.0,0.0,0,0,0.00482,-0.99993,,,,,,,Regular
885.0,0.0,0.0,0.0,0,0,0.00424,-0.99994,,,,,,,Regular
890.0,0.0,0.0,0.0,0,0,0.00371,-0.99995,,,,,,,Regular
895.0,0.0,0.0,0.0,0,0,0.00326,-0.99995,,,,,,,Regular
900.0,0.0,0.0,0.0,0,0,0.00286,-0.99996,,,,,,,Regular
905.0,0.0,0.0,0.0,0,0,0.00258,-0.99996,,,,,,,Regular
910.0,0.0,0.0,0.0,0,0,0.00234,-0.99997,,,,,,,Regular
915.0,0.0,0.0,0.0,0,0,0.00212,-0.99997,,,,,,,Regular
920.0,0.0,0.0,0.0,0,0,0.00195,-0.99997,,,,,,,Regular
925.0,0.0,0.0,0.0,0,0,0.00179,-0.99998,,,,,,,Regular
930.0,0.0,0.0,0.0,0,0,0.00165,-0.99998,,,,,,,Regular
935.0,0.0,0.0,0.0,0,0,0.00151,-0.99998,,,,,,,Regular
940.0,0.0,0.0,0.0,0,0,0.00137,-0.99998,,,,,,,Regular
945.0,0.0,0.0,0.0,0,0,0.00124,-0.99999,,,,,,,Regular
950.0,0.0,0.0,0.0,0,0,0.00112,-0.99999,,,,,,,Regular
955.0,0.0,0.0,0.0,0,0,0.00103,-0.99999,,,,,,,Regular
960.0,0.0,0.0,0.0,0,0,0.001,-0.99999,,,,,,,Regular
965.0,0.0,0.0,0.0,0,0,0.00098,-0.99999,,,,,,,Regular
970.0,0.0,0.0,0.0,0,0,0.00096,-0.99999,,,,,,,Regular
975.0,0.0,0.0,0.0,0,0,0.00094,-1.0,,,,,,,Regular
980.0,0.0,0.0,0.0,0,0,0.00092,-1.0,,,,,,,Regular
985.0,0.0,0.0,0.0,0,0,0.00091,-1.0,,,,,,,Regular
990.0,0.0,0.0,0.0,0,0,0.00089,-1.0,,,,,,,Regular
995.0,0.0,0.0,0.0,0,0,0.00088,-1.0,,,,,,,Regular
1000.0,0.0,0.0,0.0,0,0,0.00086,-1.0,,,,,,,Regular
